grantee,url,Date Awarded,Period,Amount,Focus Area,Challenge,Goal,Project Team
South Philly's Stoop,https://knightfoundation.org/grants/6756,,03/30/2015 - 10/14/2016,"$ 146,960.00",Communities,Knight Cities Challenge,"Transforming the vacant space surrounding the recently closed, historic Edward Bok school in South Philadelphia into a new community living room that brings community members together, encourages connections and engages people with neighborhood history",Scout
Detroit Homecoming,https://knightfoundation.org/grants/6759,,03/30/2015 - 10/14/2016,"$ 100,000.00",Communities,Knight Cities Challenge,Engaging Detroit expats with a new digital community designed to keep them connected to Detroit and its opportunities.,Crain's Detroit Business
Rolling Out the Warm Welcome Hat,https://knightfoundation.org/grants/6763,,03/30/2015 - 10/14/2016,"$ 67,288.00",Communities,Knight Cities Challenge,"Welcoming newcomers by having city leaders hold monthly ceremonies to give them an official welcome gift, a warm hat for Minnesota winters.",Jun-Li Wang
DIG Philly,https://knightfoundation.org/grants/6772,,03/30/2015 - 10/14/2016,"$ 149,050.00",Communities,Knight Cities Challenge,"Bringing together members of the community from diverse ages, ethnic and economic groups to create a movement to reinvent schoolyards across the city using traditional grassroots outreach and new digital engagement tools.","The Big SandBox, Inc."
The Swings: An Exercise in Musical Cooperation,https://knightfoundation.org/grants/6734,,03/30/2015 - 10/14/2016,"$ 325,000.00",Communities,Knight Cities Challenge,"Bringing people together to connect and engage in four Knight resident cities (San Jose, Detroit, West Palm Beach) with a musical swings installation that plays music when used and more complex melodies when people collaborate to use them together.",Daily tous les jours
Reuse ReCONNECT,https://knightfoundation.org/grants/6739,,03/30/2015 - 10/14/2016,"$ 90,140.00",Communities,Knight Cities Challenge,Engaging millennials in Bradenton by experimenting with pop-up events that temporarily transform outdoor spaces into places for conversations on local topics.,Realize Bradenton Inc.
Operation Export Macon,https://knightfoundation.org/grants/6743,,03/30/2015 - 10/14/2016,"$ 75,000.00",Communities,Knight Cities Challenge,"Fostering city pride and helping attract newcomers to Macon by sending one man in a roaming trailer to nearby cities, to showcase the city’s best food, goods and experiences.",College Hill Alliance
Brick + Beam Detroit,https://knightfoundation.org/grants/6750,,03/30/2015 - 10/14/2016,"$ 87,424.00",Communities,Knight Cities Challenge,"Creating a new community of Detroit rehabbers who will work together to combat blight, reactivate vacant buildings and improve their city",Michigan Historic Preservation Network
Next Stop: Democracy,https://knightfoundation.org/grants/6758,,03/30/2015 - 10/14/2016,"$ 166,394.00",Communities,Knight Cities Challenge,Making voting in local elections more enticing by creating new types of signs at polling places and commissioning artists to perform site-specific pieces on election days.,Here's My Chance
Houslets,https://knightfoundation.org/grants/6761,,03/30/2015 - 10/14/2016,"$ 40,000.00",Communities,Knight Cities Challenge,"Prototyping and deploying low-cost, modular housing and workspace units to test a new model for temporary and affordable housing for San Jose’s fast-growing population.",Houslets
Civic Solutions Laboratory,https://knightfoundation.org/grants/6708,,03/02/2015 - 12/31/2016,"$ 100,000.00",Communities,,"To support the creation of the Civic Solutions Lab at Leadership Akron, engaging cross-sector cohorts to identify solutions to address community challenges in Akron.",Leadership Akron
Knight Contemporary Art in Miami Fund,https://knightfoundation.org/grants/6722,08/31/2016,03/01/2015 - 02/29/2020,"$ 5,000,000.00",Arts,,To create the Knight Contemporary Art in Miami Fund engaging South Florida audiences through support for cutting edge exhibitions by emerging and under-recognized artists.,The Miami Foundation
Knight Akron Dance Fund,https://knightfoundation.org/grants/6725,,03/01/2015 - 02/28/2022,"$ 5,000,000.00",Arts,,"To create the Knight Akron Dance Fund, to support artistic excellence and innovation in dance through the establishment of a national center for choreography located on the University of Akron campus.",The Miami Foundation
Come Together Dance Festival 2015,https://knightfoundation.org/grants/6744,,03/01/2015 - 02/29/2016,"$ 15,000.00",Arts,,To engage audiences with the Come Together Dance Festival at the Suzanne Roberts Theatre - a showcase of performances by 24 of Philadelphia's best dance companies.,Koresh Dance Company
Knight Art Programming and Acquisition Fund,https://knightfoundation.org/grants/6723,08/31/2016,03/01/2015 - 02/29/2020,"$ 5,000,000.00",Arts,,"To create the Knight Art Programming and Acquisition Fund to engage South Florida audiences by supporting programming for four unique project galleries at the Perez Art Museum of Miami and providing flexible support for the acquisition of works.

	Pérez Art Museum Miami's (PAMM) collection focuses on international art of the 20th and 21st centuries from the perspective of the Americas and reflects the cosmopolitan makeup of Miami",The Miami Foundation
POP Academy,https://knightfoundation.org/grants/6737,,03/01/2015 - 02/28/2017,"$ 100,000.00",Arts,,"To engage Philadelphia at-risk youth with the launch of the Play On, Philly! Academy - an El Sistema inspired program that will provide high-level musical training and creative expression opportunities to local high school students.",Play On Philly!
Recital Hall at the University of Miami,https://knightfoundation.org/grants/6724,,03/01/2015 - 02/29/2020,"$ 7,500,000.00",Arts,,To develop artistic talent in South Florida by supporting the building of a state of the art recital hall at the University of Miami.,University of Miami
INVISIBLE RIVER 2015,https://knightfoundation.org/grants/6745,,03/01/2015 - 02/29/2016,"$ 25,000.00",Arts,,To engage Philadelphia audiences with 'INVISIBLE RIVER 2015' - a site-specific interactive dance performance held on and along the banks of the Schuylkill River.,INVISIBLE RIVER
Gehl Studio New York,https://knightfoundation.org/grants/7191,,02/18/2015 - 12/31/2015,"$ 42,500.00",Communities,,"To support economic opportunity and integration by funding Gehl Architects to complete a public space/public life strategy for the City of Columbus, better connecting disenfrachised communities to the downtown area.",Community Foundation of the Chattahoochee Valley
Follow the Money,https://knightfoundation.org/grants/6683,,02/09/2015 - 08/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,Establishing a database of election campaign finance and lobbying information to help journalists and the public see connections between political donors and elected officials.,National Institute on Money in State Politics
Online Toolbox for Local Election Websites,https://knightfoundation.org/grants/6684,,02/09/2015 - 08/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"Creating an online-learning toolbox for local election administrators, to complement a previously created website template, allowing them to more easily share information with citizens and improve transparency",Center for Technology and Civic Life
Open Pipe Kit,https://knightfoundation.org/grants/6692,,02/09/2015 - 08/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,Creating a tool that will help data journalists and civic hackers collect data without a programmer’s assistance or proprietary software,R.J. Steinert
PolitiFact plug-in,https://knightfoundation.org/grants/6691,,02/09/2015 - 08/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,Designing a fact-checking plug-in for Web browsers that will allow people to request a fact-check of Internet content from PolitiFact staff; users will be able to vote on fact-check requests and make comments on flagged content,The Poynter Institute for Media Studies
Cloudstitch,https://knightfoundation.org/grants/6681,,02/09/2015 - 08/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"Developing a Web platform to help journalists easily create interactive, data-driven content without help from programmers.",Cloudstitch
